npi,entity_type,provider_type,provider_tags,org_or_person_name,address,address2,city,state,zip,phone,taxonomy_primary,taxonomy_all,address_full,lat,lon,geocode_status,place_id
1174525380,2,HCBS,HCBS,VISITING NURSE ASSOCIATION OF THE INLAND COUNTIES,6235 RIVER CREST DR,STE L,Riverside,CA,92507,9514131200.0,251E00000X,251E00000X,"6235 RIVER CREST DR STE L, Riverside, CA 92507",33.9381502,-117.292689,OK,ChIJszpeomev3IAROV4GMb9Xqhw
1336143312,2,HCBS,HCBS,MEDCARE HOME HEALTH SERVICES INC,14601 TITUS ST,STE 203,Panorama City,CA,91402,8187852152.0,251E00000X,251E00000X,"14601 TITUS ST STE 203, Panorama City, CA 91402",34.2197772,-118.4508304,OK,EjExNDYwMSBUaXR1cyBTdCAjMjAzLCBQYW5vcmFtYSBDaXR5LCBDQSA5MTQwMiwgVVNBIjoaOAoxEi8KFAoSCSFFfUMtl8KAESQfkaVZ5JAIEIlyKhQKEgnBNWi2MpfCgBGfVDAYyTvSYRIDMjAz
1013911726,2,HCBS,HCBS,"APPLIED HEALTH CARE NURSING DIVISION, INC.",13100 NORTHWEST FWY STE 400,,Houston,TX,77040,8333652464.0,251E00000X,251E00000X,"13100 NORTHWEST FWY STE 400, Houston, TX 77040",29.8476806,-95.5005429,OK,ChIJheurm5LFQIYR5t0OJaEXPDQ
1366447799,2,HCBS,HCBS,JOHNSON HOME HEALTHCARE NURSING INC,1130 S EWING AVE,BLDG B,Dallas,TX,75216,9038758942.0,251E00000X,251E00000X,"1130 S EWING AVE BLDG B, Dallas, TX 75216",32.7351122,-96.8108591,OK,Ei4xMTMwIFMgRXdpbmcgQXZlIGJsZGcgYiwgRGFsbGFzLCBUWCA3NTIxNiwgVVNBIiIaIAoWChQKEgnp_zxiwJlOhhF9e17f0_VLfBIGYmxkZyBi
1568467967,2,HCBS,HCBS,"HEALTH CARE MANAGEMENT CONSULTING, INC.",9570 REGENCY SQUARE BLVD,,Jacksonville,FL,32225,9047257100.0,251E00000X,251E00000X,"9570 REGENCY SQUARE BLVD, Jacksonville, FL 32225",30.3254278,-81.54869339999999,OK,ChIJ_cT_nZK05YgRlyW_titaj4s
1891790135,2,HCBS,HCBS,"STEPHEN'S HEALTH CARE, INC.",711 N GRAHAM ST,,Stephenville,TX,76401,2549656629.0,251E00000X,251E00000X,"711 N GRAHAM ST, Stephenville, TX 76401",32.2255773,-98.2052298,OK,ChIJh_bbVSe3UYYRPpOLCnvw0fo
1366447534,2,HCBS,HCBS,PEGASUS HOME HEALTH CARE INC,132 N MARYLAND AVE,,Glendale,CA,91206,8185511932.0,251E00000X,251E00000X,"132 N MARYLAND AVE, Glendale, CA 91206",34.1476472,-118.2533247,OK,ChIJpeW8WVXAwoAR8L-EhhjWdaA
1144225327,2,HCBS,HCBS,"BANNER HEALTH SERVICES, INC.",501 S ELM ST,,Royse City,TX,75189,9034546001.0,251E00000X,251E00000X,"501 S ELM ST, Royse City, TX 75189",32.9718016,-96.3322912,OK,ChIJG_4XnIX-S4YRkf83z8AHWEo
1730184722,2,HCBS,HCBS,"PARTNERS HOME HEALTH CARE, INC.",815 S CENTRAL AVE,SUITE #26,Glendale,CA,91204,8182477650.0,251E00000X,251E00000X,"815 S CENTRAL AVE SUITE #26, Glendale, CA 91204",34.1360546,-118.2583085,OK,Ei44MTUgUyBDZW50cmFsIEF2ZSAjMjYsIEdsZW5kYWxlLCBDQSA5MTIwNCwgVVNBIh4aHAoWChQKEglPcTyr_MDCgBFr1-u8r5S-axICMjY
1497750236,2,HCBS,HCBS,"PATIENT CENTERED SERVICES, INC.",310 E INTERSTATE 30 STE B104,,Garland,TX,75043,9724244454.0,251E00000X,163WH0200X;251E00000X;251J00000X;3747A0650X;3747P1801X;374U00000X;385H00000X,"310 E INTERSTATE 30 STE B104, Garland, TX 75043",32.8476744,-96.5747855,OK,EjAzMTAgRSBJbnRlcnN0YXRlIDMwIGIxMDQsIEdhcmxhbmQsIFRYIDc1MDQzLCBVU0EiIBoeChYKFAoSCV_yFvScqE6GESEmOeXdc30HEgRiMTA0
1033114582,2,HCBS,HCBS,LITTLE COMPANY OF MARY HEALTH SERVICES,3551 VOYAGER ST,STE 201,Torrance,CA,90503,3103037496.0,251E00000X,251E00000X,"3551 VOYAGER ST STE 201, Torrance, CA 90503",33.853117,-118.349669,OK,ChIJB8yB5960woARAGY8K0ZEazc
1215932728,2,ALF,ALF,VILLA ST. VINCENT,516 WALSH ST,,Crookston,MN,56716,2182813424.0,310400000X,310400000X;314000000X,"516 WALSH ST, Crookston, MN 56716",47.7765527,-96.5899793,OK,ChIJQ9nJ5atbxlIRQwijBxjHUmI
1770589079,2,ALF,ALF,WESTMINSTER-CANTERBURY OF THE BLUE RIDGE,250 PANTOPS MOUNTAIN RD,,Charlottesville,VA,22911,4349723100.0,310400000X,310400000X;314000000X,"250 PANTOPS MOUNTAIN RD, Charlottesville, VA 22911",38.0297189,-78.43747030000002,OK,ChIJJ7LaPvuIs4kRxTWtQOTlpks
1750387742,2,HCBS,HCBS,GRACE HEALTH SERVICES INC.,7255A GREENLEAF AVE,FL 2,Whittier,CA,90602,5627890303.0,251E00000X,251E00000X,"7255A GREENLEAF AVE FL 2, Whittier, CA 90602",33.9758835,-118.0377749,OK,EjA3MjU1IEdyZWVubGVhZiBBdmUgZmwgMiwgV2hpdHRpZXIsIENBIDkwNjAyLCBVU0EiIBoeChYKFAoSCf9cODbr08KAEVeIk-1r_LcJEgRmbCAy
1851397897,2,ALF,ALF,SMYTH COUNTY COMMUNITY HOSPITAL,100 FRANCIS MARION LN,,Marion,VA,24354,2767821396.0,310400000X,310400000X;314000000X,"100 FRANCIS MARION LN, Marion, VA 24354",36.8530153,-81.505837,OK,ChIJcwCG7M_SUYgRlkNYurXvm8g
1265438030,2,HCBS,HCBS,"KINDSTAR, INC.",225 W MULBERRY ST STE 102,,Denton,TX,76201,9408911161.0,251E00000X,251E00000X,"225 W MULBERRY ST STE 102, Denton, TX 76201",33.2133216,-97.1349098,OK,Ei0yMjUgVyBNdWxiZXJyeSBTdCAjMTAyLCBEZW50b24sIFRYIDc2MjAxLCBVU0EiHxodChYKFAoSCd056ZOKyk2GEYT0Tk_I0LqkEgMxMDI
1043216849,2,HCBS,HCBS,EASTERN PLUMAS HEALTH CARE HOME HEALTH,500 1ST AVE,,Portola,CA,96122,5308326500.0,251E00000X,251E00000X,"500 1ST AVE, Portola, CA 96122",39.805736,-120.462946,OK,ChIJI5inQGwUnIARbKjY86r047A
1376540963,2,HCBS,HCBS,LAMINA INVESTMENTS LLC,1717 BROWN ST STE 2B,,El Paso,TX,79902,9153177000.0,251E00000X,251E00000X,"1717 BROWN ST STE 2B, El Paso, TX 79902",31.7772883,-106.4871284,OK,ChIJMdHQT61Z54YR_SKvu6hHRkg
1669479275,2,HCBS,HCBS,"JOHN T. LESLIE, II, INC.",15110 MINTZ LN,,Houston,TX,77014,2815910915.0,251E00000X,251E00000X,"15110 MINTZ LN, Houston, TX 77014",29.9986277,-95.4761916,OK,ChIJKUqaI4DLQIYRW5ecxwb2Xkc
1174520639,2,HCBS,HCBS,A PLUS HOME HEALTH CARE INC,1111 HYPOLUXO RD,SUITE 107,Lantana,FL,33462,5615863400.0,251E00000X,251E00000X,"1111 HYPOLUXO RD SUITE 107, Lantana, FL 33462",26.5726099,-80.0607168,OK,ChIJgf_aI-TY2IgRGYBt_HRc5nA
1306843768,2,HCBS,HCBS,"VISITING NURSE ASSOCIATION OF INDIAN RIVER COUNTY, INC.",445 24TH ST STE 300,,Vero Beach,FL,32960,7725675551.0,251E00000X,251E00000X,"445 24TH ST STE 300, Vero Beach, FL 32960",27.6434901,-80.38336579999999,OK,ChIJ_SEUG9xe3ogR4JY3i7mNUq8
1841297140,2,HCBS,HCBS,"RECOVER HEALTH OF MINNESOTA, INC.",60 10TH AVE S STE 60,,Waite Park,MN,56387,3207740777.0,251E00000X,251E00000X,"60 10TH AVE S STE 60, Waite Park, MN 56387",45.5523463,-94.2289031,OK,Eiw2MCAxMHRoIEF2ZSBTICM2MCwgV2FpdGUgUGFyaywgTU4gNTYzODcsIFVTQSIeGhwKFgoUChIJAQDwlCRftFIR4qoKe_-WLzQSAjYw
1942207188,2,HCBS,HCBS,CONTINUING CARE HOME HEALTH SERVICES INC Q,105 STONY POINTE WAY,SUITE 203,Strasburg,VA,22657,5404653532.0,251E00000X,251E00000X,"105 STONY POINTE WAY SUITE 203, Strasburg, VA 22657",38.9812422,-78.3485316,OK,EjMxMDUgU3RvbnkgUG9pbnRlIFdheSAjMjAzLCBTdHJhc2J1cmcsIFZBIDIyNjU3LCBVU0EiHxodChYKFAoSCS9RCL0tubWJEdr3MciW5B-lEgMyMDM
1205833407,2,HCBS,HCBS,CASS COUNTY MN,400 MICHIGAN AVE,,Walker,MN,56484,2185471340.0,251E00000X,251E00000X;251K00000X,"400 MICHIGAN AVE, Walker, MN 56484",47.1011447,-94.5809109,OK,ChIJs7kmd21yt1IR_R8uA4r6sRk
1205833340,2,HCBS,HCBS,"WALLS UNIVERSAL HOME HEALTH & HOSPICE SERVICES, INC.",1208 COUNTRY CLUB LN,,Fort Worth,TX,76112,8174511404.0,251E00000X,251E00000X;251G00000X,"1208 COUNTRY CLUB LN, Fort Worth, TX 76112",32.7625815,-97.2343577,OK,ChIJ66dX7Tl6ToYRUI0BExgVEIU
1841297868,2,HCBS,HCBS,"AVANCE MEDICAL ASSOCIATES, INC.",2110 N WINERY AVE STE 103,,Fresno,CA,93703,5592668300.0,251E00000X,251E00000X,"2110 N WINERY AVE STE 103, Fresno, CA 93703",36.7693593,-119.731223,OK,Ei0yMTEwIE4gV2luZXJ5IEF2ZSAjMTAzLCBGcmVzbm8sIENBIDkzNzAzLCBVU0EiHxodChYKFAoSCb1fg9WCXpSAEYLf12axfwgfEgMxMDM
1487651121,2,ALF,ALF,BUENA VISTA INC,151 BUENA VISTA DR,,Colville,WA,99114,5096844539.0,310400000X,310400000X;314000000X,"151 BUENA VISTA DR, Colville, WA 99114",48.5607842,-117.9201793,OK,ChIJ0QYW_L2HYlMRMEHqvFsD3mI
1013914704,2,HCBS,HCBS,MUNROE REGIONAL HOME HEALTH SERVICES,31 SW 12TH ST,,Ocala,FL,34474,3523517222.0,251E00000X,251E00000X,"31 SW 12TH ST, Ocala, FL 34474",29.1771172,-82.1371856,OK,ChIJiy7cvq_U54gRabNqqWu8o2U
1740287697,2,HCBS,HCBS,"DESERT HOME HEALTH SERVICES, INC.",440 S EL CIELO RD STE 8,,Palm Springs,CA,92262,7603189006.0,251E00000X,251E00000X,"440 S EL CIELO RD STE 8, Palm Springs, CA 92262",33.8172354,-116.5098643,OK,ChIJrbJluYMc24ARNWFkU4aCQ_c
1942207675,2,HCBS,HCBS,"CORE HOLDINGS, INC.",26555 CARMEL RANCHO BLVD,,Carmel,CA,93923,8316221850.0,251E00000X,251E00000X,"26555 CARMEL RANCHO BLVD, Carmel, CA 93923",36.5383877,-121.9044649,OK,ChIJy6lMCqvojYARCcKLYpFj78w
1114925799,2,HCBS,HCBS,QUALITY HOME HEALTH INC,519 FRANKLIN ST,SUITE 203,Morris,IL,60450,8159421256.0,251E00000X,251E00000X,"519 FRANKLIN ST SUITE 203, Morris, IL 60450",41.3607522,-88.4222882,OK,ChIJrapqIjiZDogRh7RipNHsYhM
1457359895,2,HCBS,HCBS,"ABLE HOME HEALTH, LLC",1946 DAIMLER ROAD,,Rockford,IL,61112,8153992600.0,251E00000X,251E00000X,"1946 DAIMLER ROAD, Rockford, IL 61112",42.24673,-88.9811625,OK,ChIJYSXYJoq4CIgRcR1T0ohH-ug
1063410314,2,HCBS,HCBS,M. Y. HOME HEALTH INC,15300 DEVONSHIRE ST,STE 5,Mission Hills,CA,91345,8188951523.0,251E00000X,251E00000X,"15300 DEVONSHIRE ST STE 5, Mission Hills, CA 91345",34.2570144,-118.4652757,OK,ChIJP7s6joqQwoAR6JkYrjUPyeo
1487652657,2,HCBS,HCBS,PLEASANT CARE CORPORATION,11642 KNOTT ST,UNIT 7,Garden Grove,CA,92841,7143735050.0,251E00000X,251E00000X,"11642 KNOTT ST UNIT 7, Garden Grove, CA 92841",33.7933617,-118.0103593,OK,ChIJHbl559Yo3YAR0tZQnbHvu7U
1922006030,2,HCBS,HCBS,"HEALING HANDS HOME HEALTHCARE, INC.",2525 COLORADO BLVD,SUITE D,Los Angeles,CA,90041,3237390333.0,251E00000X,251E00000X,"2525 COLORADO BLVD SUITE D, Los Angeles, CA 90041",34.1418964,-118.2217156,OK,EjAyNTI1IENvbG9yYWRvIEJsdmQgZCwgTG9zIEFuZ2VsZXMsIENBIDkwMDQxLCBVU0EiHRobChYKFAoSCe8yje1uwcKAETaEAep1gE1rEgFk
1598763476,2,HCBS,HCBS,"SEELIN HOME HEALTH CARE SERVICES, INC.",2007 W WALL ST,,Midland,TX,79701,4325708899.0,251E00000X,251E00000X,"2007 W WALL ST, Midland, TX 79701",31.9936334,-102.0963298,OK,ChIJgTGlo13Y-4YRLugFO2vcPMc
1386642197,2,HCBS,HCBS,"ALL-MED HOME HEALTH SERVICES, INC.",16661 VENTURA BLVD,SUITE 503,Encino,CA,91436,8189862356.0,251E00000X,251E00000X,"16661 VENTURA BLVD SUITE 503, Encino, CA 91436",34.1584953,-118.4963772,OK,ChIJGfNEjC-YwoAR7VGrkEALOxg
1417956178,2,HCBS,HCBS,VIRTUAL HOME CARE INC.,2601 GUS THOMASSON RD,SUITE 300,Mesquite,TX,75150,2147580900.0,251E00000X,251E00000X,"2601 GUS THOMASSON RD SUITE 300, Mesquite, TX 75150",32.7993363,-96.6344679,OK,ChIJfQI7ADukToYRuo5Pj6exEBE
1730188137,2,HCBS,HCBS,"ALLIED HOME HEALTH SERVICES, INC.",1504 15TH ST,,Wellington,TX,79095,8064472541.0,251E00000X,251E00000X,"1504 15TH ST, Wellington, TX 79095",34.8493891,-100.2075374,OK,EicxNTA0IDE1dGggU3QsIFdlbGxpbmd0b24sIFRYIDc5MDk1LCBVU0EiMRIvChQKEglb-kca816qhxEzp7HYhYQeJxDgCyoUChIJ449wjl1eqocRnuZegqW6Mxc
1306845979,2,HCBS,HCBS,"HOME HEALTH CARE ASSOCIATES, INC.",18981 JEB STUART HIGHWAY,,Stuart,VA,24171,2766947756.0,251E00000X,251E00000X,"18981 JEB STUART HIGHWAY, Stuart, VA 24171",36.6453743,-80.24980599999999,OK,ChIJUYnuHdxlUogR9mdkDEsZqAA
1437158714,2,HCBS,HCBS,GONZALES HEALTHCARE SYSTEMS,1314 N SARAH DEWITT DR,,Gonzales,TX,78629,8306727581.0,251E00000X,251E00000X,"1314 N SARAH DEWITT DR, Gonzales, TX 78629",29.5171652,-97.4319669,OK,Ei8xMzE0IE4gU2FyYWggRGV3aXR0IERyLCBHb256YWxlcywgVFggNzg2MjksIFVTQSIxEi8KFAoSCc9m3x-MFUOGETQliAfxwEy0EKIKKhQKEgmjt82mjhVDhhF5r4qvd-_xIw
1568461820,2,HCBS,HCBS,REST HAVEN ILLIANA CHRISTIAN CONVALESCENT HOME,18601 N CREEK DR,,Tinley Park,IL,60477,7083312005.0,251E00000X,251E00000X,"18601 N CREEK DR, Tinley Park, IL 60477",41.5538684,-87.7970106,OK,ChIJP6ajlbgVDogR_OzU5BUyUL4
1700885886,2,HCBS,HCBS,EAST TEXAS MEDICAL HOME SERVICES,1409 S BECKHAM AVE,SUITE 300,Tyler,TX,75701,9035356051.0,251E00000X,251E00000X,"1409 S BECKHAM AVE SUITE 300, Tyler, TX 75701",32.3322759,-95.2907699,OK,Ei0xNDA5IFMgQmVja2hhbSBBdmUgIzMwMCwgVHlsZXIsIFRYIDc1NzAxLCBVU0EiHxodChYKFAoSCfk2z2wfzEmGEX1sUissCY0FEgMzMDA
1215936166,2,HCBS,HCBS,"PRECIOUS HOME HEALTH SERVICES, INC",18856 AMAR RD,STE #7,Walnut,CA,91789,6265814174.0,251E00000X,251E00000X,"18856 AMAR RD STE #7, Walnut, CA 91789",34.0286204,-117.8901627,OK,ChIJc5zNIyYqw4AR3W-8hy3FTyo
1487654356,2,HCBS,HCBS,ORACLE HEALTHCARE INC,2604 DEMPSTER ST STE 202,,Park Ridge,IL,60068,2244705130.0,251E00000X,251E00000X,"2604 DEMPSTER ST STE 202, Park Ridge, IL 60068",42.0401107,-87.8588886,OK,ChIJ__-_w-C3D4gRSs3tgxbeacM
1003816828,2,HCBS,HCBS,"RESPONSIVE HOME HEALTH, INC.",3601 W COMMERCIAL BLVD STE 14,,Ft Lauderdale,FL,33309,9544866440.0,251E00000X,251E00000X,"3601 W COMMERCIAL BLVD STE 14, Ft Lauderdale, FL 33309",26.1873745,-80.19719909999999,OK,ChIJORYX4AQE2YgRxWx5T6yldFU
1740280486,2,HCBS,HCBS,MRC EDGEWATER,2228 SEAWALL BLVD,,Galveston,TX,77550,4097636437.0,251E00000X,251E00000X,"2228 SEAWALL BLVD, Galveston, TX 77550",29.2909877,-94.7880926,OK,ChIJ_xPQb16eP4YRjtVBec_JxnQ
1295735967,2,HCBS,HCBS,"TENDER CARE HEALTH SERVICES, INC.",3112 CHESTNUT AVE,,Newport News,VA,23607,7572477680.0,251E00000X,251E00000X,"3112 CHESTNUT AVE, Newport News, VA 23607",36.9917193,-76.40880299999999,OK,ChIJCX0FS_2cuokRzDDsKg2aZfk
1891795183,2,HCBS,HCBS,"KINDSTAR, INC.",1809 JUSTIN RD.,ATTN: LNG,Longview,TX,75605,9032978200.0,251E00000X,251E00000X,"1809 JUSTIN RD. ATTN: LNG, Longview, TX 75605",32.5007037,-94.7404891,OK,ChIJUTPfl_81NoYRM1kZdPfwD7M
1295735439,2,HCBS,HCBS,ANI HOME HEALTH AGENCY LTD CO,215A EXECUTIVE WAY,# 120,Desoto,TX,75115,9722284100.0,251E00000X,251E00000X;3747P1801X,"215A EXECUTIVE WAY # 120, Desoto, TX 75115",32.6226042,-96.8607107,OK,ChIJq6rW6mGRToYRPpVGUXzAfzA
1780684712,2,HCBS,HCBS,"HEALTHWORKS PCA, INC",1895 WEST COUNTY RD C,,Roseville,MN,55113,6512090591.0,251E00000X,251E00000X,"1895 WEST COUNTY RD C, Roseville, MN 55113",45.0219477,-93.1809948,OK,ChIJS2o_7vkrs1IRkbsu5V76LCU
1518968106,2,HCBS,HCBS,ROSA'S FIRST QUALITY HOME HEALTHCARE LLC,306 E RANDOL MILL RD,SUITE 100,Arlington,TX,76011,8174610154.0,251E00000X,251E00000X,"306 E RANDOL MILL RD SUITE 100, Arlington, TX 76011",32.7496456,-97.1037902,OK,ChIJSYt9Spt9ToYR7BhOm0YO9cM
1093716433,2,HCBS,HCBS,YOUR HEALTH TEAM LLC,1512 FM 2727,,Kaufman,TX,75142,9729628349.0,251E00000X,251E00000X,"1512 FM 2727, Kaufman, TX 75142",32.5890238,-96.3088693,OK,ChIJtQAI0kg8SYYR-OZ1e9rdwDE
1972505881,2,HCBS,HCBS,VILLARAZA CORPORATION,1212 N SPENCER,SUITE 1,Mesa,AZ,85203,4807266553.0,251E00000X,251E00000X,"1212 N SPENCER SUITE 1, Mesa, AZ 85203",33.4374038,-111.8074878,OK,ChIJOWDjHk2mK4cRMgg_DVqOVSo
1013919901,2,HCBS,HCBS,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVE,,Ortonville,MN,56278,3208392502.0,251E00000X,251E00000X;311ZA0620X,"450 EASTVOLD AVE, Ortonville, MN 56278",45.315343,-96.4456024,OK,ChIJg8EDgG98y1IRNLeOOYN4K18
1336141779,2,HCBS,HCBS,MOUNTAIN REGION PERSONAL CARE SERVICES INC.,463 DUFF-PATT HWY,,Duffield,VA,24244,2764311440.0,251E00000X,163WC2100X;251E00000X;332B00000X;3747P1801X;385H00000X,"463 DUFF-PATT HWY, Duffield, VA 24244",36.7106128,-82.79895619999999,OK,ChIJyTLC8xXnWogRwmjAB_sKpWM
1760474688,2,HCBS,HCBS,HARRIS COUNTY HOME HEALTH SERVICES,5800 AIRLINE DR,STE 200,Houston,TX,77076,7136952909.0,251E00000X,251E00000X,"5800 AIRLINE DR STE 200, Houston, TX 77076",29.8498731,-95.3839241,OK,Eiw1ODAwIEFpcmxpbmUgRHIgIzIwMCwgSG91c3RvbiwgVFggNzcwNzYsIFVTQSIfGh0KFgoUChIJHwpCLA64QIYRt-qujZN_7rgSAzIwMA
1487646113,2,HCBS,HCBS,COMMONWEALTH HOME HEALTH INC,425 MAIN ST,,South Boston,VA,24592,4345721312.0,251E00000X,251E00000X,"425 MAIN ST, South Boston, VA 24592",36.698189,-78.9014033,OK,ChIJ__-DGoxjrYkRuNSAyi6zhz8
1275525628,2,ALF,ALF,"AUSTIN'S ADULT CARE HOMES, INC.",10624 N 25TH ST,,Phoenix,AZ,85028,6024829579.0,310400000X,310400000X,"10624 N 25TH ST, Phoenix, AZ 85028",33.5832901,-112.0288794,OK,ChIJXcJIcGFyK4cRoM3JD1AQMeM
1528050846,2,HCBS,HCBS,"VITAL HOME HEALTH CARE, INC",2500 E FOOTHILL BLVD,STE. 501,Pasadena,CA,91107,6264326650.0,251E00000X,251E00000X,"2500 E FOOTHILL BLVD STE. 501, Pasadena, CA 91107",34.1495907,-118.0983653,OK,EjYyNTAwIEUgRm9vdGhpbGwgQmx2ZCAjNTAxLCBQYXNhZGVuYSwgQ0EgOTExMDczNDY0LCBVU0EiHxodChYKFAoSCYuSp3qm3MKAEZTDRuteMYKoEgM1MDE
1952394074,2,HCBS,HCBS,"ACT HOME HEALTH, INC.",12431 LEWIS ST STE 101,,Garden Grove,CA,92840,7145600800.0,251E00000X,251E00000X,"12431 LEWIS ST STE 101, Garden Grove, CA 92840",33.781939,-117.897794,OK,EjAxMjQzMSBMZXdpcyBTdCAjMTAxLCBHYXJkZW4gR3JvdmUsIENBIDkyODQwLCBVU0EiHxodChYKFAoSCaNdHu4g2NyAEedy3G5zGbD0EgMxMDE
1841283025,2,HCBS,HCBS,POST OPERATIVE CARE ASSOCIATES,295 W CROMWELL AVE,SUITE 103,Fresno,CA,93711,5594322257.0,251E00000X,251E00000X,"295 W CROMWELL AVE SUITE 103, Fresno, CA 93711",36.84741590000001,-119.7971279,OK,ChIJBci9exlolIAR4FF5NUrGuSY
1992798847,2,HCBS,HCBS,"COMPASSIONATE CARE HOME HEALTH, INC.",2235 N LAKE AVE,SUITE 209,Altadena,CA,91001,6267913300.0,251E00000X,251E00000X,"2235 N LAKE AVE SUITE 209, Altadena, CA 91001",34.1843102,-118.1324014,OK,ChIJg8AATNzCwoARaRymDqyiwSE
1295728996,2,HCBS,HCBS,"EL PASO DEL NORTE HOME HEALTH AGENCY, INC.",1401 MONTANA AVE STE C,,El Paso,TX,79902,9155347521.0,251E00000X,251E00000X,"1401 MONTANA AVE STE C, El Paso, TX 79902",31.7719227,-106.4800502,OK,ChIJN_3GFalZ54YRQFdvo2a2rvg
1932192523,2,HCBS,HCBS,"CRESCENT HEALTHCARE, INC.",11980 TELEGRAPH RD,SUITE 102,Santa Fe Springs,CA,90670,8778724844.0,251E00000X,251E00000X;251F00000X;261QI0500X;332B00000X;332BP3500X;333600000X;3336H0001X;3336S0011X,"11980 TELEGRAPH RD SUITE 102, Santa Fe Springs, CA 90670",33.9433919,-118.0779898,OK,EjgxMTk4MCBUZWxlZ3JhcGggUmQgIzEwMiwgU2FudGEgRmUgU3ByaW5ncywgQ0EgOTA2NzAsIFVTQSIfGh0KFgoUChIJCbwbkvfSwoARqYMxjtChIa4SAzEwMg
1689668006,2,HCBS,HCBS,DOR-ANS HOME HEALTH SERVICE INC,518 E MAIN AVE,SUITE B,Robstown,TX,78380,3613874575.0,251E00000X,251E00000X,"518 E MAIN AVE SUITE B, Robstown, TX 78380",27.788929,-97.662617,OK,ChIJdSQCLGR8aIYRphRlU3DVXVw
1114911229,2,HCBS,HCBS,"P-B HEALTH HOME CARE AGENCY, INC.",4701 MOUNT HOPE DR STE B,,Baltimore,MD,21215,4102351060.0,251E00000X,251E00000X,"4701 MOUNT HOPE DR STE B, Baltimore, MD 21215",39.3463162,-76.70705559999999,OK,ChIJdeYwDkkayIkRiWbLtnQVAfA
